Week,depression,anxiety,obsessive compulsive disorder,ocd,insomnia,panic attack,mental health,counseling,psychiatrist
6/16/2019,81,77,37,71,77,79,56,62,75
6/23/2019,70,73,96,61,73,76,50,76,61
6/30/2019,67,75,32,72,66,55,44,62,69
7/7/2019,70,73,57,71,63,80,53,69,75
7/14/2019,76,76,51,68,71,80,49,69,86
7/21/2019,69,88,60,66,69,94,48,65,69
7/28/2019,67,81,60,76,82,86,44,70,73
8/4/2019,68,76,30,66,66,75,43,52,48
8/11/2019,70,84,57,72,73,72,48,67,83
8/18/2019,67,78,57,75,99,66,48,56,68
8/25/2019,69,79,37,65,95,62,48,70,69
9/1/2019,66,81,36,69,78,64,42,71,81
9/8/2019,79,87,47,82,72,77,60,91,68
9/15/2019,75,91,47,69,74,86,63,75,71
9/22/2019,75,96,87,74,89,77,66,92,78
9/29/2019,81,87,75,71,77,68,69,75,77
10/6/2019,89,89,69,65,89,71,100,84,77
10/13/2019,87,88,59,73,74,70,66,79,79
10/20/2019,88,88,62,80,76,72,65,72,81
10/27/2019,94,93,63,85,85,73,63,80,85
11/3/2019,93,92,28,80,73,78,67,78,89
11/10/2019,94,90,45,78,72,84,62,68,88
11/17/2019,96,90,62,95,80,77,71,83,79
11/24/2019,93,92,55,76,70,94,63,84,78
12/1/2019,81,87,79,88,75,64,63,73,79
12/8/2019,87,86,64,96,91,86,57,82,94
12/15/2019,80,77,36,85,74,75,48,64,71
12/22/2019,65,73,38,76,85,61,29,58,59
12/29/2019,70,74,48,82,90,75,39,83,76
1/5/2020,85,88,50,81,96,76,60,91,79
1/12/2020,93,95,81,85,94,77,68,100,83
1/19/2020,100,98,62,78,96,78,73,82,89
1/26/2020,91,100,67,91,79,100,95,79,81
2/2/2020,95,90,67,99,89,83,71,94,100
2/9/2020,86,91,61,80,80,73,69,86,92
2/16/2020,84,92,55,83,85,94,62,65,80
2/23/2020,90,95,63,80,71,95,66,75,97
3/1/2020,90,95,100,100,100,77,71,98,77
3/8/2020,88,86,36,85,79,83,62,74,67
3/15/2020,81,80,55,65,51,94,47,61,43
3/22/2020,88,87,24,79,75,96,54,66,45
3/29/2020,79,83,52,71,82,74,56,69,55
4/5/2020,86,76,37,77,73,77,54,52,44
4/12/2020,95,84,47,81,77,87,57,65,55
4/19/2020,82,82,47,78,97,70,55,60,60
4/26/2020,86,79,62,80,83,72,60,66,67
5/3/2020,80,79,47,78,85,88,78,69,63
5/10/2020,83,82,29,85,77,81,58,62,57
5/17/2020,77,82,70,96,78,69,54,75,69
5/24/2020,72,79,39,98,70,71,54,71,58
5/31/2020,72,82,49,86,65,65,61,64,60
