Week,depression,anxiety,obsessive compulsive disorder,ocd,insomnia,panic attack,mental health,counseling,psychiatrist
6/16/2019,74,87,0,14,51,57,7,62,54
6/23/2019,74,76,97,21,49,56,4,52,67
6/30/2019,76,61,97,19,41,0,7,62,63
7/7/2019,74,60,100,18,74,58,3,69,73
7/14/2019,83,60,0,29,77,59,4,62,68
7/21/2019,86,69,0,8,57,0,5,58,69
7/28/2019,87,67,0,11,53,0,8,63,75
8/4/2019,89,38,100,14,42,0,7,85,80
8/11/2019,87,39,0,24,62,0,4,66,70
8/18/2019,79,57,0,8,56,0,5,56,58
8/25/2019,86,67,0,25,52,0,4,59,87
9/1/2019,86,79,0,20,51,0,7,60,77
9/8/2019,96,56,0,14,46,64,3,51,72
9/15/2019,84,58,0,24,39,56,12,71,67
9/22/2019,86,65,0,28,57,0,11,72,87
9/29/2019,86,75,0,19,75,0,19,72,64
10/6/2019,82,88,0,18,35,57,45,64,53
10/13/2019,86,74,0,24,62,60,56,60,79
10/20/2019,80,71,0,18,63,0,44,70,64
10/27/2019,79,96,0,18,58,58,62,68,56
11/3/2019,100,90,0,27,55,0,56,86,77
11/10/2019,88,69,0,21,64,0,100,100,68
11/17/2019,75,53,0,100,0,0,65,100,100
11/24/2019,73,93,0,28,63,0,60,77,74
12/1/2019,99,96,0,19,60,51,58,77,66
12/8/2019,90,86,85,22,69,0,42,69,65
12/15/2019,80,80,84,11,79,49,30,75,67
12/22/2019,87,85,0,27,51,0,16,65,88
12/29/2019,70,72,0,13,63,48,14,55,68
1/5/2020,64,69,0,18,46,0,12,46,58
1/12/2020,74,63,0,22,69,0,9,58,64
1/19/2020,83,70,0,12,54,0,12,58,76
1/26/2020,77,62,85,23,53,0,11,56,65
2/2/2020,74,73,0,15,66,49,7,58,65
2/9/2020,70,78,85,22,50,100,7,48,60
2/16/2020,72,76,0,15,58,0,7,48,64
2/23/2020,56,75,0,27,51,48,6,39,37
3/1/2020,49,78,0,15,41,0,4,40,33
3/8/2020,55,88,0,9,57,47,2,37,36
3/15/2020,46,77,0,12,55,0,6,33,24
3/22/2020,60,65,0,16,76,92,5,37,33
3/29/2020,63,87,0,31,100,46,9,44,37
4/5/2020,66,87,0,23,86,43,5,48,42
4/12/2020,63,93,0,12,69,43,7,47,49
4/19/2020,68,81,0,50,63,0,9,52,55
4/26/2020,64,91,70,19,63,83,9,56,52
5/3/2020,67,100,0,18,56,42,8,53,63
5/10/2020,64,75,73,43,41,0,8,50,49
5/17/2020,67,90,73,32,40,0,5,47,55
5/24/2020,71,67,76,18,40,44,8,51,61
5/31/2020,74,89,0,17,55,44,9,58,54
