Week,depression,anxiety,obsessive compulsive disorder,ocd,insomnia,panic attack,mental health,counseling,psychiatrist
6/16/2019,65,60,43,67,80,100,55,54,69
6/23/2019,60,60,47,42,73,70,49,45,55
6/30/2019,66,59,48,46,68,87,52,51,58
7/7/2019,61,62,41,60,68,48,48,55,51
7/14/2019,58,60,39,50,76,52,46,42,57
7/21/2019,51,63,44,32,59,95,45,59,56
7/28/2019,100,65,36,63,71,74,44,35,44
8/4/2019,75,56,39,50,73,62,47,72,59
8/11/2019,53,50,39,45,71,67,33,42,47
8/18/2019,64,60,42,68,70,82,57,55,65
8/25/2019,63,100,43,60,92,91,68,45,63
9/1/2019,66,63,41,53,86,65,62,43,64
9/8/2019,62,59,44,77,72,77,57,19,54
9/15/2019,59,59,100,50,77,65,58,52,59
9/22/2019,61,58,55,61,69,58,74,61,50
9/29/2019,66,60,46,89,63,78,57,66,66
10/6/2019,63,54,48,100,46,58,50,66,58
10/13/2019,61,56,41,57,64,42,50,74,54
10/20/2019,58,58,42,68,77,49,57,48,48
10/27/2019,60,63,41,44,76,70,73,44,89
11/3/2019,59,58,48,66,59,60,100,56,68
11/10/2019,60,57,45,82,72,52,62,55,57
11/17/2019,58,55,34,53,56,49,59,77,54
11/24/2019,61,59,41,75,60,72,58,59,77
12/1/2019,63,56,39,61,62,59,52,76,82
12/8/2019,53,58,55,64,70,55,54,66,73
12/15/2019,51,57,49,56,59,64,58,60,62
12/22/2019,43,46,40,59,48,57,41,63,69
12/29/2019,38,44,41,35,59,71,26,49,34
1/5/2020,54,63,50,79,73,44,60,54,71
1/12/2020,60,66,54,53,89,52,59,69,86
1/19/2020,56,65,49,47,94,62,57,58,87
1/26/2020,52,60,47,84,71,71,63,36,82
2/2/2020,52,61,46,55,69,59,58,34,98
2/9/2020,51,54,47,51,74,77,44,33,100
2/16/2020,54,70,35,50,63,58,46,43,85
2/23/2020,41,65,40,56,57,90,52,37,74
3/1/2020,40,63,37,52,63,62,73,57,84
3/8/2020,41,60,41,44,70,52,78,47,67
3/15/2020,38,62,35,51,75,44,50,95,72
3/22/2020,41,62,40,67,77,53,41,72,68
3/29/2020,40,69,32,50,62,34,46,61,49
4/5/2020,34,66,28,43,59,34,42,64,79
4/12/2020,36,63,37,74,74,54,48,38,57
4/19/2020,34,60,47,52,82,58,45,49,47
4/26/2020,38,60,38,54,65,78,46,49,63
5/3/2020,41,61,36,60,83,86,40,61,69
5/10/2020,50,69,56,96,98,58,48,49,55
5/17/2020,52,69,52,50,100,67,45,50,77
5/24/2020,52,71,56,77,82,67,47,57,64
5/31/2020,59,71,52,56,88,81,53,50,73
