Week,depression,anxiety,obsessive compulsive disorder,ocd,insomnia,panic attack,mental health,counseling,psychiatrist
6/16/2019,89,91,27,71,58,68,37,48,0
6/23/2019,73,86,55,63,65,57,33,41,0
6/30/2019,77,85,23,79,52,74,30,46,0
7/7/2019,78,82,36,76,64,59,31,50,0
7/14/2019,77,84,54,74,64,75,29,54,0
7/21/2019,68,77,37,66,52,63,25,34,0
7/28/2019,76,87,69,58,68,80,27,45,53
8/4/2019,79,81,54,70,71,66,27,50,52
8/11/2019,78,83,71,71,78,57,29,44,52
8/18/2019,75,83,46,75,88,68,30,46,54
8/25/2019,79,92,37,74,77,75,27,44,54
9/1/2019,78,92,66,70,55,68,30,48,0
9/8/2019,82,92,31,72,59,63,33,67,51
9/15/2019,84,93,35,76,66,71,34,49,0
9/22/2019,83,89,34,71,59,70,36,50,49
9/29/2019,84,89,47,69,55,76,39,57,0
10/6/2019,95,97,100,74,68,75,100,65,48
10/13/2019,92,94,63,75,67,72,41,57,49
10/20/2019,88,92,67,81,66,62,38,52,49
10/27/2019,85,85,46,63,57,66,35,52,0
11/3/2019,89,92,36,73,73,77,36,52,0
11/10/2019,85,84,28,71,62,72,35,58,47
11/17/2019,86,83,30,71,70,64,35,60,93
11/24/2019,86,91,55,77,66,56,32,57,0
12/1/2019,83,81,57,73,65,67,34,63,47
12/8/2019,85,85,43,72,63,59,31,68,48
12/15/2019,83,85,43,74,73,62,30,69,100
12/22/2019,72,73,52,77,62,61,20,59,0
12/29/2019,79,82,59,80,88,69,27,80,49
1/5/2020,86,94,67,91,100,69,39,85,45
1/12/2020,91,95,35,89,80,75,38,100,0
1/19/2020,89,92,24,97,69,78,39,72,46
1/26/2020,88,97,48,85,79,71,43,72,0
2/2/2020,90,100,72,78,74,78,46,99,47
2/9/2020,87,90,31,72,64,68,41,81,90
2/16/2020,100,93,66,78,63,78,45,62,45
2/23/2020,97,96,30,90,73,78,42,70,0
3/1/2020,88,98,65,83,60,82,38,98,0
3/8/2020,81,90,22,88,59,85,35,61,0
3/15/2020,67,91,59,69,43,99,33,48,0
3/22/2020,64,93,53,70,62,100,31,47,0
3/29/2020,69,87,46,73,71,100,32,51,41
4/5/2020,72,82,47,76,80,89,29,63,0
4/12/2020,76,86,54,72,78,79,30,53,42
4/19/2020,75,80,57,84,73,79,35,48,0
4/26/2020,78,92,65,96,73,78,34,45,0
5/3/2020,80,83,70,85,80,65,36,70,41
5/10/2020,77,80,34,95,73,66,40,51,40
5/17/2020,82,87,49,100,73,57,67,52,0
5/24/2020,72,83,56,92,63,79,34,51,0
5/31/2020,72,85,63,87,60,63,34,64,40
